Full-Name,Type,Index-Offset,Index-Group,Subitems
MAIN.m_container.m_SSC.m_Switch.DI_Extended,BOOL,0x16c614,0xf020,0
MAIN.m_container.m_SSC.m_Switch.DI_Retracted,BOOL,0x16c615,0xf020,0
MAIN.m_container.m_SSC.m_Switch.DO_Extend,BOOL,0x16c616,0xf030,0
MAIN.m_container.m_SSC.Motor.AI_Position,UINT,0x16c5c0,0xf020,0
MAIN.m_container.m_SSC.Motor.AI_Speed,UDINT,0x16c5c4,0xf020,0
MAIN.m_container.m_SSC.Motor.DO_TurnClockwise,BOOL,0x16c5c8,0xf030,0
MAIN.m_container.m_SSC.Motor.DO_TurnCounterclockwise,BOOL,0x16c5c9,0xf030,0
MAIN.m_container.m_stack.m_Inductivesensor.DI_WPMetallic,BOOL,0x16c3e8,0xf020,0
MAIN.m_container.m_stack.m_Opticalsensor.DI_WPLight,BOOL,0x16c3dc,0xf020,0
MAIN.m_container.m_stack.m_Presencesensor.DI_WPDetected,BOOL,0x16c3d0,0xf020,0
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,INT,0x16c3f4,0xf020,0
MAIN.m_container.m_stack.o_slidingCylinder.AI_FlowPressure,INT,0x16c3c4,0xf020,0
MAIN.m_container.m_stack.o_slidingCylinder.AI_PositionTransmitter,INT,0x16c3c6,0xf020,0
MAIN.m_container.m_stack.o_slidingCylinder.AI_PressureSensor,INT,0x16c3c2,0xf020,0
MAIN.m_container.m_stack.o_slidingCylinder.DI_BoundaryFlowPressure,BOOL,0x16c3c0,0xf020,0
MAIN.m_container.m_stack.o_slidingCylinder.DI_BoundaryPressure,BOOL,0x16c3bf,0xf020,0
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,BOOL,0x16c3bc,0xf020,0
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,BOOL,0x16c3bd,0xf020,0
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,BOOL,0x16c3be,0xf030,0
MAIN.m_container.m_stamp.m_presenceSensor.DI_WPDetected,BOOL,0x16c438,0xf020,0
MAIN.m_container.m_stamp.m_pressureSensor.AI_CurrentPressure,INT,0x16c444,0xf020,0
