Name,Type,Index Group,Index Offset,Comment
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_FlowPressure,INT,61472,1451916,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PositionTransmitter,INT,61472,1451918,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PressureSensor,INT,61472,1451914,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryFlowPressure,BOOL,61472,1451912,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryPressure,BOOL,61472,1451911,NOT USED BUT USABLE
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Extended,BOOL,61472,1451908,Hardware
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Retracted,BOOL,61472,1451909,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DO_Extend,BOOL,61488,1451910,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DI_TakenIn,BOOL,61472,1451896,Hardware
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DO_VacuumOn,BOOL,61488,1451897,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.VacuumHit,BOOL,61488,1451898,Only used by PickAlpha
MAIN.m_container.m_RFC.m_PresencesensorEnd.DI_WPDetected,BOOL,61472,1452116,
MAIN.m_container.m_RFC.m_PresencesensorStart.DI_WPDetected,BOOL,61472,1452104,
MAIN.m_container.m_RFC.m_Switch.DI_BoundaryPressure,BOOL,61472,1452131,NOT USED BUT USABLE
MAIN.m_container.m_RFC.m_Switch.DI_Extended,BOOL,61472,1452128,Hardware
MAIN.m_container.m_RFC.m_Switch.DI_Retracted,BOOL,61472,1452129,
MAIN.m_container.m_RFC.m_Switch.DO_Extend,BOOL,61488,1452130,
MAIN.m_container.m_RFC.Motor.AI_Position,UINT,61472,1452084,
MAIN.m_container.m_RFC.Motor.AI_Speed,UDINT,61472,1452088,
MAIN.m_container.m_RFC.Motor.DO_TurnClockwise,BOOL,61488,1452092,Hardware
MAIN.m_container.m_RFC.Motor.DO_TurnCounterclockwise,BOOL,61488,1452093,
MAIN.m_container.m_SSC.m_Inductivesensor.DI_WPMetallic,BOOL,61472,1452040,Hardware
MAIN.m_container.m_SSC.m_Opticalsensor.DI_WPLight,BOOL,61472,1452028,Hardware
