typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
Property,WPStamped,,Boolean,,,,_a7KFoBHqEeaIeI6F5gdpJg,
Property,WPType,,,,,,_itKpYBHqEeaIeI6F5gdpJg,
Property,WPWeight,,,,,,_8QKA0NygEea2-snvt7IG-A,
Property,Check_Allowed_To_Operate,,Boolean,,,,_IvB94NgjEeaLleG51tH3Eg,
Property,Check_WPType,,,,,,_L2bMoNgjEeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
SubmodelElementCollection,ACT_Stamp,,,,,,_101JsBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_Init,,,,,,_z8WlIBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_AutomaticExecute,,,,,,_WBWCAGRzEeaP7aiWefDRgg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_EmergencyStop,,,,,,_cXOqMEmREeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_PPUTostamp,,,,,,,
Property,name,stamp,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_N1dDYBHZEeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_PPUTostamp,_2ub-IBHQEeaen93uATCTQQ,,,,,,_-GUi8BHWEeaE9dGXaplL2g
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_LargeSortingConveyor,,,,,,_RehDsBH4EeaIeI6F5gdpJg,
SubmodelElementCollection,Properties,,,,,,,
Property,panel,,,,,,_p5ujcxH6EeaIeI6F5gdpJg,
Property,motor,,,,,,_k0wNULe0EeaN5KNu953fkQ,
Property,seperator1,,,,,,_61L_AxH6EeaIeI6F5gdpJg,
Property,seperator2,,,,,,__DaS8xH6EeaIeI6F5gdpJg,
Property,psBeginning,,,,,,_TS5d4KdSEeaW3-nj19_RIA,
Property,optRamp1,,,,,,_5NHYgxH7EeaIeI6F5gdpJg,
Property,optRamp2,,,,,,_7Z8ccxH7EeaIeI6F5gdpJg,
Property,indRamp1,,,,,,_nnAA8xH8EeaIeI6F5gdpJg,
Property,indRamp2,,,,,,_xqoCAhH8EeaIeI6F5gdpJg,
Property,ramp1,,,,,,_swnwkxX2Eea6mfTNXns5yg,
Property,ramp2,,,,,,_trigshX2Eea6mfTNXns5yg,
Property,ramp3,,,,,,_uusm0xX2Eea6mfTNXns5yg,
Property,optEnd,,,,,,_XBVGQxZ9Eeax3NYvbL0H7w,
Property,Check_Allowed_To_Operate,,Boolean,,,,_f0UtMNgdEeaLleG51tH3Eg,
Property,StartButton,,Boolean,,,,_JcqusNgdEeaLleG51tH3Eg,
Property,InitCompleted,,Boolean,,,,_z4fSQLe0EeaN5KNu953fkQ,
Property,AutomaticExecuteCompleted,,Boolean,,,,_r36pgGRvEeaP7aiWefDRgg,
Property,EmergencyStop,,Boolean,,,,_W6uPQNgdEeaLleG51tH3Eg,
Property,EmergencyHandled,,Boolean,,,,_T4eIoGSBEeaP7aiWefDRgg,
Property,IsSorting,,Boolean,,,,_GcRAAGRyEeaP7aiWefDRgg,
Property,WPSorted,,Boolean,,,,_IerjsGRyEeaP7aiWefDRgg,
Property,WPTypeChecked,,Boolean,,,,_KpwUIGRyEeaP7aiWefDRgg,
Property,TargetChanged,,Boolean,,,,_MDZAkGRyEeaP7aiWefDRgg,
Property,WPType,,,,,,_ZMoHsGRyEeaP7aiWefDRgg,
Property,CurrentTarget,,,,,,_igQPMGRyEeaP7aiWefDRgg,
Property,Priority_White,,EInt,,,,_30vC4H5wEeaf0bAzsfqfCg,
Property,Priority_Black,,EInt,,,,_5iu1wH5wEeaf0bAzsfqfCg,
Property,Priority_Metallic,,EInt,,,,_685GoH5wEeaf0bAzsfqfCg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
SubmodelElementCollection,ACT_SortWP,,,,,,_T_LB0B2ZEea4IeFnYXjnhQ,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_ChangeTarget,,,,,,_4IPO0GRzEeaP7aiWefDRgg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_CheckWPType,,,,,,_6JAMsGRzEeaP7aiWefDRgg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_Init,,,,,,_3HVTsCZzEeagIsaxH253Xw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_AutomaticExecute,,,,,,_1nfwYGRzEeaP7aiWefDRgg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_EmergencyStop,,,,,,_T4wpEEmREeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_PPUTolargeSortingConveyor,,,,,,,
Property,name,largeSortingConveyor,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_cpnDIBH4EeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_PPUTolargeSortingConveyor,_2ub-IBHQEeaen93uATCTQQ,,,,,,_RehDsBH4EeaIeI6F5gdpJg
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,BlockDefinitionDiagram_Stack,,,,,,,
SubmodelElementCollection,Class_Stack,,,,,,_P1xSIBHVEeaen93uATCTQQ,
SubmodelElementCollection,Properties,,,,,,,
Property,StartButton,,Boolean,,,,_QuGvQNgNEeaLleG51tH3Eg,
Property,InitCompleted,,Boolean,,,,_dMpoIBHfEeaIeI6F5gdpJg,
Property,AutomaticExecuteCompleted,,Boolean,,,,_0fnXELYcEeaPAdOs73iMYQ,
Property,EmergencyStop,,Boolean,,,,_Wz-hUNgNEeaLleG51tH3Eg,
Property,EmergencyHandled,,Boolean,,,,_PQIEgGSBEeaP7aiWefDRgg,
Property,WPProvided,,Boolean,,,,_aSZBABHgEeaIeI6F5gdpJg,
Property,WPType,,,,,,_mbruEBHgEeaIeI6F5gdpJg,
Property,WPWeight,,,,,,_4yUIUNydEea2-snvt7IG-A,
Property,Check_Crane_PickedUpWP,,Boolean,,,,_kc3Y4NgNEeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
