xmi:type,name,xmi:id,description
Transition,PriorityBlack2,_A27msH5yEeaf0bAzsfqfCg,[PriorityBlack=2]
Transition,PriorityBlack1,_EBvV0H5yEeaf0bAzsfqfCg,[PriorityBlack=1]
Transition,PriorityBlack3,_Km-kcH5yEeaf0bAzsfqfCg,[PriorityBlack3]
Transition,PriorityMetallic3,_QW5UoH5yEeaf0bAzsfqfCg,[PriorityMetallic=3]
Transition,PriorityMetallic2,_V4GTYH5yEeaf0bAzsfqfCg,[PriorityMetallic=2]
Transition,PriorityMetallic1,_cAlUkH5yEeaf0bAzsfqfCg,[PriorityMetallic=1]
Transition,TransitionddKzINgeEeaLleG51tH3Eg,_ddKzINgeEeaLleG51tH3Eg,
Pseudostate,PseudostateUqrs4GR6EeaP7aiWefDRgg,_Uqrs4GR6EeaP7aiWefDRgg,
Pseudostate,PseudostateYzO2oGR6EeaP7aiWefDRgg,_YzO2oGR6EeaP7aiWefDRgg,
State,WPIsMetallic,_fX0lAGR6EeaP7aiWefDRgg,WPIsMetallic
OpaqueBehavior,OpaqueBehaviorOfWPIsMetallic,_X1sd8H5xEeaf0bAzsfqfCg,IF(CounterVarMetallic=0)THEN Priority_Metallic:=1; ELSIF(CounterVarMetallic=1)THEN Priority_Metallic:=2; ELSIF(CounterVarMetallic=2)THEN Priority_Metallic:=3; END_IF; CounterVarMetallic:=CounterVarMetallic+1; CounterVarMetallic:=CounterVarBlack MOD 3;
State,WPIsWhite,_7CWLUGR6EeaP7aiWefDRgg,WPIsWhite
OpaqueBehavior,OpaqueBehaviorOfWPIsWhite,_G4IwoH5xEeaf0bAzsfqfCg,IF(CounterVarWhite=0)THEN Priority_White:=1; ELSIF(CounterVarWhite=1)THEN Priority_White:=2; ELSIF(CounterVarWhite=2)THEN Priority_White:=3; END_IF; CounterVarWhite:=CounterVarWhite+1; CounterVarWhite:=CounterVarWhite MOD 3;
State,WPIsBlack,_8kpEgGR6EeaP7aiWefDRgg,WPIsBlack
OpaqueBehavior,OpaqueBehaviorOfWPIsBlack,_MdZI8H5xEeaf0bAzsfqfCg,IF(CounterVarBlack=0)THEN Priority_Black:=1; ELSIF(CounterVarBlack=1)THEN Priority_Black:=2; ELSIF(CounterVarBlack=2)THEN Priority_Black:=3; END_IF; CounterVarBlack:=CounterVarBlack+1; CounterVarBlack:=CounterVarBlack MOD 3;
State,Ramp1,_aXfCMGR7EeaP7aiWefDRgg,Ramp1
OpaqueBehavior,OpaqueBehaviorOfRamp1,_ToWwYGR-EeaP7aiWefDRgg,Set(CurrentTarget := Ramp1)
State,TargetChanged,_Fn5_UGR8EeaP7aiWefDRgg,TargetChanged
OpaqueBehavior,OpaqueBehaviorOfTargetChanged,_lzfWAGR8EeaP7aiWefDRgg,Now(TargetChanged)
FinalState,FinalStatep0OnkGR8EeaP7aiWefDRgg,_p0OnkGR8EeaP7aiWefDRgg,
State,Ramp2,_dH1YAGR9EeaP7aiWefDRgg,Ramp2
OpaqueBehavior,OpaqueBehaviorOfRamp2,_Xihf4GR-EeaP7aiWefDRgg,Set(CurrentTarget := Ramp2)
State,Ramp3,_kI3x0GR9EeaP7aiWefDRgg,Ramp3
OpaqueBehavior,OpaqueBehaviorOfRamp3,_Y2g3UGR-EeaP7aiWefDRgg,Set(CurrentTarget := Ramp3)
State,ResetTarget,_QmO88NgeEeaLleG51tH3Eg,ResetTarget
OpaqueBehavior,OpaqueBehaviorOfResetTarget,_ad3wcNgeEeaLleG51tH3Eg,Reset(CurrentTarget)
