typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
SubmodelElementCollection,State_Reset_Init,,,,,,_uZGVUNgJEeaLleG51tH3Eg,
SubmodelElementCollection,doActivities,,,,,,,
Property,ResetStartButton,,,,,,_-BveINgJEeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_-BveINgJEeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Pseudostate,,,,,,_HxvYkNgKEeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_EmergencyChecking,,,,,,_RmIDwNgKEeaLleG51tH3Eg,
SubmodelElementCollection,doActivities,,,,,,,
Property,EmergencyStop,stack.EmergencyStop OR largeSortingConveyor.EmergencyStop OR stamp.EmergencyStop OR crane.SoftwareEmergency OR stamp.SoftwareEmergency,,,,,_aAWeENgKEeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_aAWeENgKEeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Pseudostate,,,,,,_d2jeINgLEeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,StateDiagram_PPU_ACT_EmergencyStop,,,,,,_5kHGoCcMEeaCDM79dIZItg,
SubmodelElementCollection,Transition_ToFinalState,,,,,,_-jblsCcfEea2HoRD4bUt5w,
ReferenceElement,ToFinalState,_99C7ICcfEea2HoRD4bUt5w,,,,,_-jblsCcfEea2HoRD4bUt5w,
Property,refillConveyorswitchStopperDI_Retracted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateTo,,,,,,_VYO-IEmZEeaPbYa44WUTPg,
ReferenceElement,PseudostateTo,_iAX04CcfEea2HoRD4bUt5w,,,,,_VYO-IEmZEeaPbYa44WUTPg,
Property,true,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ToStack_EmergencyStop,,,,,,_YUIHgEmZEeaPbYa44WUTPg,
ReferenceElement,ToStack_EmergencyStop,_mxLR0EmXEeaPbYa44WUTPg,,,,,_YUIHgEmZEeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ToCrane_EmergencyStop,,,,,,_cMCNMEmZEeaPbYa44WUTPg,
ReferenceElement,ToCrane_EmergencyStop,_pTCKkEmXEeaPbYa44WUTPg,,,,,_cMCNMEmZEeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ToLargeSortingConveyor_EmergencyStop,,,,,,_fEb9sEmZEeaPbYa44WUTPg,
ReferenceElement,ToLargeSortingConveyor_EmergencyStop,_rUGDYEmXEeaPbYa44WUTPg,,,,,_fEb9sEmZEeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ToStamp_EmergencyStop,,,,,,_ipNE8EmZEeaPbYa44WUTPg,
ReferenceElement,ToStamp_EmergencyStop,__Jv_MEmXEeaPbYa44WUTPg,,,,,_ipNE8EmZEeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Stack_EmergencyStopTo,,,,,,_sBaKcEmZEeaPbYa44WUTPg,
